,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Ariquemes,32,BR,1551301916,62,-9.91,-63.03,86.58,1.7
376,Bilma,0,NE,1551301753,42,18.69,12.92,60.03,7.85
377,La Ronge,90,CA,1551299160,73,55.1,-105.3,19.4,12.75
378,Jerome,1,US,1551301916,43,34.75,-112.11,66.99,6.93
379,Simoes,68,BR,1551301654,88,-7.6,-40.82,76.86,3.6
380,Kuito,8,AO,1551301925,91,-12.38,16.94,60.75,2.93
381,Santa Maria,20,BR,1551297600,44,-29.69,-53.81,78.8,5.82
382,Chilmari,92,BD,1551301928,96,25.59,89.66,59.22,7.4
383,Umm Lajj,32,SA,1551301930,100,25.02,37.27,62.19,6.06
384,Erdenet,0,MN,1551301934,48,49.03,104.04,-0.82,2.59
385,Suslovo,88,RU,1551301938,80,56.22,88.12,23.58,7.85
386,Pisco,0,PE,1551301200,30,-13.71,-76.2,71.6,16.11
387,Sivaki,0,RU,1551301942,54,52.63,126.75,-1.13,3.38
388,Sulangan,64,PH,1551301950,100,11.14,123.72,78.57,15.46
389,Dongsheng,92,CN,1551301951,83,29.72,112.52,34.83,3.83
390,Namatanai,88,PG,1551301953,100,-3.66,152.44,78.93,6.85
391,Haines Junction,0,CA,1551301810,83,60.75,-137.51,11.83,1.14
392,Puerto Armuelles,20,PA,1551297600,55,8.27,-82.86,91.4,11.41
393,Los Llanos de Aridane,20,ES,1551301204,72,28.66,-17.92,64.4,9.17
394,Birao,48,CF,1551301958,34,10.3,22.78,75.87,5.5
395,Whitianga,0,NZ,1551301812,62,-36.83,175.7,69.01,11.01
396,Khandbari,92,NP,1551301963,78,27.38,87.21,25.6,1.14
397,Luganville,92,VU,1551301970,100,-15.51,167.18,79.92,15.57
398,Katherine,20,AU,1551301200,94,-14.47,132.26,75.2,1.36
399,Ahipara,12,NZ,1551301681,100,-35.17,173.16,66.99,1.01
400,Bukama,24,CD,1551301973,81,-9.2,25.85,76.05,3.83
401,Westport,20,IE,1551301807,91,53.8,-9.52,46.0,3.0
402,Hobyo,0,SO,1551301965,93,5.35,48.53,74.7,10.2
403,Lorengau,92,PG,1551301795,100,-2.02,147.27,78.7,5.28
404,Miyako,75,JP,1551301924,87,33.63,130.94,50.0,5.82
405,Arshan,0,YE,1551301980,57,14.32,46.95,55.93,4.72
406,Juegang,56,CN,1551301857,83,32.31,121.18,44.01,10.76
407,Grahamstown,20,ZA,1551301879,61,-33.31,26.53,62.01,1.01
408,Kamenka,80,RU,1551301550,84,53.19,44.05,32.0,6.51
409,Grand Gaube,75,MU,1551301741,83,-20.01,57.66,81.0,3.36
410,Kailua,75,US,1551301879,67,21.39,-157.74,75.2,24.16
411,Chapleau,90,CA,1551297600,72,47.85,-83.4,12.2,3.36
412,Mackay,75,CA,1551297600,67,53.65,-115.58,26.6,13.87
413,Mukacheve,24,UA,1551301993,74,48.44,22.72,22.77,2.15
414,Pochutla,40,MX,1551301244,55,15.74,-96.47,89.01,9.17
415,Miraflores,68,CO,1551301996,48,5.2,-73.14,63.67,2.48
416,Pio XII,76,BR,1551301997,97,-3.89,-45.17,75.87,3.6
417,Bellevue,90,US,1551301999,33,47.61,-122.19,45.0,4.72
418,Arona,0,IT,1551301984,52,45.76,8.56,55.0,2.24
419,Wadi Musa,56,JO,1551302005,72,30.32,35.48,51.52,6.17
420,Latung,36,ID,1551302007,96,-8.45,120.42,72.09,3.6
421,Sinnamary,92,GF,1551302009,89,5.38,-52.96,80.55,13.22
422,Gafanha da Encarnacao,0,PT,1551301963,93,40.62,-8.73,55.0,5.06
423,Mahibadhoo,64,MV,1551302015,100,3.78,72.97,81.85,3.15
424,Buala,0,SB,1551301867,82,-8.15,159.59,83.65,6.51
425,Ciudad Bolivar,12,VE,1551301785,33,8.12,-63.55,94.05,16.69
426,Payo,92,ID,1551302018,98,-3.75,103.64,72.67,4.05
427,Nago,5,IT,1551302002,75,45.88,10.89,53.6,3.36
428,Portland,90,US,1551301818,69,45.52,-122.67,36.0,16.11
429,Rawson,0,AR,1551301970,28,-43.3,-65.11,75.87,9.64
430,Mudgee,88,AU,1551301248,72,-32.6,149.59,64.4,4.7
431,Kloulklubed,75,PW,1551300600,94,7.04,134.26,73.4,10.2
432,Porto Walter,48,BR,1551302028,84,-8.27,-72.74,81.0,1.81
433,Moroni,92,US,1551302019,62,39.52,-111.59,46.99,1.99
434,Racine,40,US,1551302025,73,42.73,-87.78,28.4,13.87
435,Nueva Guinea,80,NI,1551302033,49,11.69,-84.46,85.5,8.63
436,Mahanoro,92,MG,1551302034,100,-19.9,48.8,74.16,1.81
437,Pho Chai,0,TH,1551301200,88,16.33,103.77,73.4,2.82
438,Mayor Pablo Lagerenza,68,PY,1551302037,69,-19.93,-60.77,81.54,7.29
439,Emba,40,CY,1551301243,62,34.81,32.42,57.2,21.92
440,Barcelos,0,PT,1551301906,93,41.53,-8.62,54.0,2.15
441,Sinazongwe,0,ZM,1551302041,78,-17.26,27.46,78.66,0.69
442,Abha,0,SA,1551297600,48,18.22,42.5,64.4,6.93
443,Margate,0,AU,1551301639,76,-43.03,147.26,57.2,2.24
444,Yar-Sale,56,RU,1551302045,81,66.83,70.83,3.37,24.07
445,Reconquista,0,AR,1551302036,51,-29.14,-59.64,76.86,5.73
446,Chicama,0,PE,1551301200,74,-7.84,-79.15,80.6,5.82
447,Aykhal,12,RU,1551302048,62,65.95,111.51,-1.0,4.94
448,Dzilam Gonzalez,32,MX,1551302050,41,21.28,-88.93,91.89,7.52
449,Berdigestyakh,64,RU,1551302051,83,62.1,126.7,2.47,2.82
450,Melilla,40,EC,1551301200,79,-0.8,-80.23,84.2,5.82
451,Kirakira,88,SB,1551301811,100,-10.46,161.92,78.66,5.95
452,Sinop,88,TR,1551301979,100,42.03,35.15,40.63,11.54
453,Leh,64,IN,1551302056,61,34.16,77.58,-18.23,1.48
454,Kanor,0,IN,1551302057,39,24.43,74.26,52.29,6.96
455,Nemuro,56,JP,1551302059,93,43.32,145.57,31.27,14.23
456,Yuma,5,US,1551301924,16,32.73,-114.62,78.01,4.7
457,High Prairie,68,CA,1551302061,72,55.43,-116.48,17.64,7.85
458,Candido Mendes,92,BR,1551302062,100,-1.45,-45.72,80.32,11.21
459,Ulladulla,40,AU,1551301313,93,-35.36,150.48,72.0,3.36
460,Christchurch,80,NZ,1551301985,57,-43.53,172.64,55.99,10.29
461,Isoka,8,ZM,1551302066,93,-10.15,32.64,62.68,3.15
462,Sibenik,0,HR,1551301820,83,45.81,17.18,31.41,2.59
463,Tocopilla,8,CL,1551301953,71,-22.09,-70.2,70.92,6.06
464,Immokalee,90,US,1551301923,65,26.42,-81.42,80.6,9.17
465,Todi,0,IT,1551302020,42,42.78,12.41,52.0,9.17
466,Kade,24,GH,1551302075,84,6.1,-0.84,77.17,5.61
467,Merauke,68,ID,1551302078,100,-8.49,140.4,78.75,9.64
468,Turhal,75,TR,1551298800,86,40.38,36.08,32.0,4.94
469,Victor Harbor,0,AU,1551302053,77,-35.55,138.62,70.0,11.41
470,Matamoros,75,US,1551302060,65,25.87,-97.51,82.99,14.99
471,Ibra,0,OM,1551302083,79,22.69,58.55,54.85,1.7
472,Shingu,100,JP,1551302084,100,33.72,135.99,56.16,6.96
473,Rudnogorsk,88,RU,1551302085,85,57.27,103.75,25.65,6.29
474,Magadan,12,RU,1551302087,100,59.56,150.8,1.8,6.62
475,Narrabri,68,AU,1551297600,52,-30.33,149.78,68.0,6.73
476,Hami,0,CN,1551301811,58,42.84,93.51,15.7,3.71
477,Kiruna,90,SE,1551300600,92,67.86,20.23,23.0,16.11
478,Bilibino,56,RU,1551302091,63,68.06,166.44,-9.55,2.59
479,Mariel,40,CU,1551301390,61,22.99,-82.75,82.4,9.17
480,San Juan,20,PH,1551301983,73,14.6,121.03,78.01,4.7
481,Abnub,0,EG,1551297600,54,27.27,31.15,57.2,6.93
482,Novi Pazar,88,RS,1551302098,86,43.14,20.51,30.51,3.83
483,Maunabo,75,PR,1551302096,69,18.01,-65.9,80.6,10.29
484,Ust-Omchug,44,RU,1551302100,60,61.13,149.63,-15.35,2.93
485,Dawson Creek,1,CA,1551297600,68,55.76,-120.23,24.8,10.29
486,Coihaique,0,CL,1551301200,45,-45.58,-72.07,66.2,6.93
487,Adamas,68,GR,1551298800,49,36.73,24.43,48.2,23.04
488,Cabra,0,ES,1551302004,57,37.47,-4.43,54.0,3.36
489,Urgut,36,UZ,1551299400,36,39.41,67.25,46.4,11.41
490,Herat,56,AF,1551302110,57,34.35,62.22,41.31,16.69
491,Lagos,64,NG,1551302111,91,6.46,3.39,80.32,7.96
492,Sorland,75,NO,1551300600,64,67.67,12.69,35.6,25.28
493,Griffith,24,AU,1551297600,47,-34.29,146.06,75.2,13.87
494,Hvide Sande,8,DK,1551302112,100,56.01,8.13,42.01,8.05
495,Rio Grande,0,BR,1551301200,60,-32.03,-52.1,71.6,6.93
496,Huarmey,12,PE,1551302119,49,-10.07,-78.15,80.91,3.71
497,Merrill,40,US,1551302106,70,42.03,-121.6,46.99,24.16
498,Mnogovershinnyy,0,RU,1551302122,67,53.94,139.92,4.68,4.38
499,Half Moon Bay,90,US,1551302075,82,37.46,-122.43,63.0,17.22
500,Bonthe,64,SL,1551302124,69,7.53,-12.5,82.57,5.39
501,Santa Isabel do Rio Negro,48,BR,1551302126,54,-0.41,-65.02,91.03,4.94
502,Kanniyakumari,20,IN,1551302127,98,8.08,77.57,82.35,14.23
503,Accra,75,GH,1551297600,83,5.56,-0.21,84.2,2.24
504,Nioro,0,GM,1551302130,23,13.79,-15.05,73.98,10.98
505,Canoa,40,CU,1551300600,33,22.56,-79.83,89.6,4.7
506,Baijiantan,36,CN,1551302135,48,45.63,85.18,-3.38,2.26
507,Abonnema,56,NG,1551301981,93,4.71,6.79,75.96,3.27
508,Quatre Cocos,40,MU,1551302041,78,-20.21,57.76,82.4,8.05
509,Rangkasbitung,75,ID,1551302117,88,-6.35,106.25,84.99,8.05
510,Casino,92,AU,1551302054,82,-28.86,153.05,73.4,2.24
511,Juneau,1,US,1551301863,74,58.3,-134.42,37.99,2.26
512,Slonim,12,BY,1551302147,80,53.09,25.32,37.8,15.9
513,Macapa,75,BR,1551301200,66,0.05,-51.07,86.0,12.75
514,Mount Isa,0,AU,1551299400,83,-20.73,139.49,69.8,8.41
515,Manzhouli,0,CN,1551302152,63,49.6,117.43,7.47,6.06
516,Tucuman,68,PE,1551302154,74,-17.17,-70.89,67.41,4.16
517,Keti Bandar,0,PK,1551301855,95,24.14,67.45,71.01,2.93
518,Marondera,0,ZW,1551302157,70,-18.19,31.55,62.55,4.94
519,Nizhniy Kuranakh,68,RU,1551302159,71,58.84,125.49,13.27,6.62
520,Tecolutla,0,MX,1551302160,35,17.31,-98.74,81.9,1.36
521,Swan Hill,0,AU,1551302162,71,-35.34,143.56,65.25,9.64
522,Bunbury,0,GB,1551302150,86,53.12,-2.65,48.2,6.93
523,Bryan,90,US,1551302006,88,30.67,-96.37,73.99,5.61
524,Kunyang,92,CN,1551302167,100,27.66,120.56,49.68,6.17
525,Arandis,0,NA,1551301330,80,-22.42,14.98,66.0,7.0
526,Nueve de Julio,0,AR,1551302170,31,-31.67,-68.39,84.55,3.38
527,Smithers,20,CA,1551297600,57,54.78,-127.17,17.6,4.7
528,San Cristobal,75,EC,1551302153,60,-0.39,-78.55,68.0,14.99
529,Guerrero Negro,24,MX,1551302174,59,27.97,-114.04,65.61,13.22
530,Baringo,0,KE,1551302175,83,0.47,35.97,56.25,1.14
531,Mao,40,DO,1551302153,61,19.55,-71.08,84.2,17.22
532,Sorong,92,ID,1551302178,100,-0.86,131.25,80.68,10.42
533,Kidal,0,ML,1551302179,20,18.44,1.41,63.63,14.45
534,Kasongo-Lunda,56,CD,1551302180,93,-6.48,16.82,71.46,3.15
535,Gizo,75,IL,1551301991,87,31.8,34.94,59.0,9.17
536,Edson,40,CA,1551297600,58,53.59,-116.44,26.6,10.29
537,Pacific Grove,75,US,1551301941,63,36.62,-121.92,64.99,10.29
538,Dingle,0,PH,1551302194,80,11.0,122.67,71.77,11.77
539,Wuchang,0,CN,1551302197,83,44.93,127.16,20.79,9.53
540,Lubao,75,PH,1551302158,83,14.94,120.6,75.2,4.7
541,Villa Carlos Paz,20,AR,1551302160,47,-31.42,-64.5,82.99,6.93
542,Belmonte,8,PT,1551302159,85,40.36,-7.35,51.01,4.0
543,Charters Towers,8,AU,1551302203,85,-20.07,146.27,66.96,5.95
544,Grootfontein,48,NA,1551302206,60,-19.56,18.1,75.33,1.81
545,Mulanje,0,MW,1551302208,74,-16.03,35.5,73.44,4.16
546,Ingham,100,AU,1551302209,100,-18.65,146.16,76.5,13.11
547,Nova Russas,92,BR,1551302022,100,-4.71,-40.57,70.42,3.15
548,Brewster,90,US,1551302212,35,41.76,-70.08,27.0,4.7
549,Atambua,56,ID,1551302202,100,-9.11,124.89,77.58,3.49
550,Shakhtinsk,90,KZ,1551299400,92,49.71,72.59,24.8,8.95
551,Bosaso,0,SO,1551302217,100,11.28,49.18,75.78,2.59
552,Maracas,20,TT,1551302109,58,10.76,-61.44,87.01,12.75
553,Bhind,0,IN,1551302219,91,26.57,78.79,52.78,3.71
